TemplateType=Offer	Version=2018.0731
sku	product-id	product-id-type	price	item-condition	quantity	add-delete
05V0205	B0BYSJRH6Z	1	47.47	11	0	a
05V0600	B0BYSL811M	1	47.47	11	0	a
05V0601	B0BV8J6M2R	1	47.47	11	0	a
05V0617	B0BYSMPFWS	1	47.47	11	0	a
05V0628	B0BV6NW1P4	1	47.47	11	0	a
05V0631	B0BYSLS3VM	1	47.47	11	0	a
05V0635	B0BV86DSTK	1	47.47	11	0	a
05V0685	B0BYSLWF5H	1	47.47	11	0	a
05V0717	B0BV8NV4R6	1	47.47	11	0	a
05V0723	B0BV6NJK95	1	47.47	11	0	a
05V0734	B0BV6MDMM4	1	47.47	11	0	a
05V0767	B0BYSN5YBM	1	47.47	11	0	a
05V0808	B0BYSPFSTF	1	47.47	11	0	a
05V0813	B0BYSLK91P	1	47.47	11	0	a
05V0821	B0BYSP5Y6W	1	47.47	11	0	a
05V0832	B0BYSKCGP2	1	47.47	11	0	a
05V0837	B0BYSLRHD8	1	47.47	11	0	a
05V0839	B0BYSJXGQB	1	47.47	11	0	a
05V0841	B0BYSL657D	1	47.47	11	0	a
05V0842	B0BYSLX884	1	47.47	11	0	a
05V0845	B0BYSKKJZT	1	47.47	11	0	a
05V0848	B0BYSP2ZDS	1	47.47	11	0	a
05V0852	B0BVCLGX4F	1	47.47	11	0	a
05V0868	B0BYSKQWCK	1	47.47	11	0	a
05V0878	B0BYSLK1CT	1	47.47	11	0	a
05V0880	B0BYTLFSS1	1	47.47	11	0	a
A0260	B00213EOCE	1	6.86	11	0	a
A0261	B01DH0EDXO	1	6.33	11	0	a
A0271	B007OSS5OE	1	6.22	11	0	a
A0274	B007OSRTMI	1	3.69	11	0	a
A0297	B0C1KYQS6P	1	17.93	11	0	a
A0510	B0D1VL5CYS	1	10.55	11	0	a
A0511	B084DC9XTX	1	9.49	11	0	a
A0557	B0081S6A16	1	42.20	11	0	a
A0577	B07VHLTPDD	1	179.35	11	0	a
A1065	B08T7QFGNQ	1	14.72	11	0	a
A1074	B07D4M3ZMM	1	15.77	11	0	a
A1099	B00QIV253K	1	28.48	11	0	a
A1100	B07VD3MP9D	1	36.92	11	0	a
A1104	B0DT6X5M9W	1	26.38	11	0	a
A1105	B0DT6ZSFDD	1	26.38	11	0	a
A1106	B09X1QF7FF	1	10.55	11	0	a
A1132	B0CC27CFXS	1	42.20	11	0	a
A1135	B0GKB7M9VZ	1	42.20	11	0	a
A1136	B08DP22SGN	1	17.83	11	0	a
GI0634	B0CJCL1YF1	1	8.97	11	0	a
GI0735	B0CJG1KX1C	1	8.97	11	0	a
I0257	B0BV6LJGM9	1	11.60	11	0	a
I0280	B0BV6PQ7DM	1	11.60	11	0	a
I0287	B0BV6Q3NTV	1	11.60	11	0	a
I0313	B0BV6LQW45	1	9.49	11	0	a
I0340	B0BVGT24PD	1	11.60	11	0	a
I0376	B0BYJL69HF	1	11.60	11	0	a
I0483	B0BV6NX4MC	1	11.60	11	0	a
I0600	B0BV6MHZZT	1	11.60	11	0	a
I0601	B0BV6PK8XF	1	11.60	11	0	a
I0607	B0BV6PFTRY	1	11.60	11	0	a
I0608	B0BVCXWZ8Y	1	11.60	11	0	a
I0610	B0BV6NXP9J	1	11.60	11	0	a
I0617	B0BV6P5B2V	1	11.60	11	0	a
I0631	B0BYSHR24Z	1	11.60	11	0	a
I0632	B0BV6NCJXC	1	11.60	11	0	a
I0634	B0BV6PG74M	1	11.60	11	0	a
I0638	B0BYSJ835G	1	11.60	11	0	a
I0681	B0BYSK3MJX	1	11.60	11	0	a
I0685	B0BV6LLMZT	1	13.71	11	0	a
I0700	B0BV6MPTRZ	1	11.60	11	0	a
I0710	B0BV6L6W2P	1	11.60	11	0	a
I0727	B0BV6PHHFM	1	11.60	11	0	a
I0729	B0BV6NCKTZ	1	13.71	11	0	a
I0742	B0BV6L8WKX	1	11.60	11	0	a
I0752	B0BV6MCCYY	1	11.60	11	0	a
I0767	B0BV6QP8BM	1	11.60	11	0	a
I0772	B0BV6MQHP8	1	11.60	11	0	a
I0773	B0BVGSHJC7	1	11.60	11	0	a
I0775	B0C1DP5C16	1	11.60	11	0	a
I0778	B0BZ2D126R	1	11.60	11	0	a
I0793	B0BV6N4X2H	1	11.60	11	0	a
I0794	B0BV6NH9DY	1	11.60	11	0	a
I0796	B0BV6PXQ84	1	11.60	11	0	a
I0807	B0BV6PCVBM	1	11.60	11	0	a
I0808	B0BV6NHY1R	1	8.33	11	0	a
I0813	B0BV6LSG7Z	1	11.60	11	0	a
I0816	B0BVDC6Y4M	1	13.71	11	0	a
I0820	B0BV6Q27HL	1	11.60	11	0	a
I0821	B0BV6NTBCV	1	11.60	11	0	a
I0822	B0BV8LCV3Y	1	11.60	11	0	a
I0826	B0BV6N6XKL	1	11.60	11	0	a
I0828	B0BV6LQJWW	1	11.60	11	0	a
I0829	B0BV6JN1K8	1	11.60	11	0	a
I0832	B0BV6L3FYQ	1	11.60	11	0	a
I0836	B0BV6MRQ1N	1	11.60	11	0	a
I0837	B0BV6NCPG9	1	11.60	11	0	a
I0838	B0BV6LXR4S	1	11.60	11	0	a
I0839	B0BV6LVFRM	1	11.60	11	0	a
I0841	B0BV6LXR7C	1	11.60	11	0	a
