pid,store_name,display_name,parent_name,billing_partner,street,zip,city,phone,email,statut,sale_warn,tier,cycle_days,so_count_12m,total_untaxed_12m,avg_mois,first_so_date,last_so_date,last_so_days_ago,last_so_label,last_visit,last_visit_source,next_visit,retard_j
5439,Affilié 045015 - Delhaize Longdoz Médiacité,Affilié 045015 - Delhaize Longdoz Médiacité,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Rue de Grétry 60,,Liège,043 42 49 02,achef45015@delhaize.be,Actif,no-message,C,42,1,414.07,34.51,2025-07-04,2025-07-04,328,04/07/2025 (328j),2025-07-04,last_so,2025-08-15,286
9159,Carrefour market Etterbeek,Carrefour market Etterbeek,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Cours st.Michel 80,1040,Etterbeek,+32 2 772 87 76,,Actif,no-message,C,42,1,1061.97,88.5,2025-07-18,2025-07-18,314,18/07/2025 (314j),2025-07-23,picking,2025-09-03,267
8488,Hyper Carrefour de Drogendos,Hyper Carrefour de Drogendos,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Avenue Paul Gilson 455,1620,Drogenbos,+32 2 446 15 25,,Actif,no-message,C,42,2,1075.84,89.65,2025-06-10,2025-08-06,295,06/08/2025 (295j),2025-08-07,picking,2025-09-18,252
7873,Delhaize bois de breux,Delhaize bois de breux,,Delhaize bois de breux,,,,+32 4 365 74 07,,Actif,no-message,X,90,1,343.73,28.64,2025-08-06,2025-08-06,295,06/08/2025 (295j),2025-08-06,last_so,2025-11-04,205
113634,Carrefour Market Eupen centre Rotenberg,Carrefour Market Eupen centre Rotenberg,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Rotenberg 12,4700,Eupen,+32 87 55 59 01,carrefoureupen@skynet.be,Actif,no-message,C,42,2,768.31,64.03,2025-10-13,2025-10-13,227,13/10/2025 (227j),2025-10-14,picking,2025-11-25,184
9016,Distriwal SRL - Carrefour Market Walcourt,Distriwal SRL - Carrefour Market Walcourt,,Distriwal SRL - Carrefour Market Walcourt,"Rue de la Forge, 34",5650,WALCOURT,+32 71 61 14 73,labbe-r@hotmail.com,Actif,no-message,C,42,2,1144.41,95.37,2025-07-07,2025-10-16,224,16/10/2025 (224j),2025-10-16,last_so,2025-11-27,182
113974,Carrefour Market Eupen Herbesthalerstrasse,Carrefour Market Eupen Herbesthalerstrasse,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Rue de Herbesthal 203,4700,Eupen,+32 87 21 30 30,info@hypermarketeupen.be,Actif,no-message,C,42,2,756.42,63.03,2025-10-20,2025-10-20,220,20/10/2025 (220j),2025-10-21,picking,2025-12-02,177
8339,Carrefour Market Braine-l'Alleud,Carrefour Market Braine-l'Alleud,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Pl. du Môle 25,1420,Braine-l'alleud,,,Actif,no-message,B,28,3,1298.75,108.23,2025-06-04,2025-11-06,203,06/11/2025 (203j),2025-11-06,last_so,2025-12-04,175
9079,Carrefour Market Naninne,Carrefour Market Naninne,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Chaussée de Marche 741,5100,Naninne,+32 81 58 19 68,mellecev@gmail.com,Actif,no-message,B,28,3,1299.39,108.28,2025-07-11,2026-01-22,126,22/01/2026 (126j),2026-01-22,picking,2026-02-19,98
6821,Carrefour Market Waterloo,Carrefour Market Waterloo,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Drève de Richelle 10,1410,Waterloo,+32 2 352 02 11,eric_darte@carrefour.com,Actif,no-message,C,42,5,961.59,80.13,2025-07-08,2026-01-08,140,08/01/2026 (140j),2026-01-08,picking,2026-02-19,98
5426,DELHAIZE BOONDAEL,DELHAIZE BOONDAEL,AL RETAIL - Delhaize BOONDAEL,AL RETAIL - Delhaize BOONDAEL,120 AVENUE DU BOIS DE LA CAMBRE,1050,IXELLES,02 672 89 48,014024@delhaize.be,Actif,no-message,C,42,3,1116.73,93.06,2025-10-06,2026-01-12,136,12/01/2026 (136j),2026-01-12,last_so,2026-02-23,94
113216,Dynamic Food SRL - Spar Louvain-La-Neuve,Dynamic Food SRL - Spar Louvain-La-Neuve,,Dynamic Food SRL - Spar Louvain-La-Neuve,rue Charlemagne 7,1348,Louvain-la-Neuve,+32 10 86 03 94,spar.louvainlaneuve@gmail.com,Actif,warning,B,28,3,1708.34,142.36,2025-10-03,2026-01-27,121,27/01/2026 (121j),2026-01-27,last_so,2026-02-24,93
8062,Carrefour Hyper Auderghem,Carrefour Hyper Auderghem,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Bd du Souverain-Vorstlaan 240,1160,Auderghem,+32 2 679 05 11,josiane_bourcy@carrefour.com,Actif,no-message,C,42,3,632.0,52.67,2025-08-05,2026-01-13,135,13/01/2026 (135j),2026-01-13,picking,2026-02-24,93
8689,Hypermarché carrefour Bierges (wavre ),Hypermarché carrefour Bierges (wavre ),Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,"Boulevard de l'Europe, 3",1301,Bierges,+32 10 23 18 50,alizee_urbain@carrefour.com,Actif,no-message,B,28,5,2712.86,226.07,2025-06-20,2026-01-27,121,27/01/2026 (121j),2026-01-29,picking,2026-02-26,91
2914,Affilié 044725 - Delhaize Kraainem,Affilié 044725 - Delhaize Kraainem,Delhaize Le Lion S.A,Delhaize Le Lion S.A,"Wezembeeklaan, 112",1950,Kraainem,027 84 36 48,supplier@delhaize-kraainem.be,Actif,no-message,A,21,7,5291.28,440.94,2025-06-25,2026-02-20,97,20/02/2026 (97j),2026-02-23,picking,2026-03-16,73
8779,Affilié 044780 - Proxy Delhaize Le Beau Rivage,Affilié 044780 - Proxy Delhaize Le Beau Rivage,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Quai de Meuse 1/1,5500,Dinant,+32 82 22 37 62,xavier-despeghel@hotmail.com,Actif,no-message,B,28,5,1803.97,150.33,2025-06-23,2026-02-17,100,17/02/2026 (100j),2026-02-17,last_so,2026-03-17,72
117130,Affilié 041895 - Proxy Delhaize Braives,Affilié 041895 - Proxy Delhaize Braives,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Chaussée de Tirlemont 6A,4260,Braives,+32 19 69 94 88,maxime@proxybraives.be,Actif,no-message,C,42,2,382.3,31.86,2025-12-08,2026-02-09,108,09/02/2026 (108j),2026-02-09,last_so,2026-03-23,66
8683,Hyper Carrefour Waterloo Mt-St-Jean,Hyper Carrefour Waterloo Mt-St-Jean,Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Chaussée de Charleroi 579,1410,Waterloo,+32 2 389 27 11,,Actif,no-message,B,28,4,1697.95,141.5,2025-06-19,2026-02-25,92,25/02/2026 (92j),2026-02-25,picking,2026-03-25,64
113997,"Carrefour Belgium - Corporate Village, Carrefour Market City 2","Carrefour Belgium - Corporate Village, Carrefour Market City 2",Carrefour Belgium - Corporate Village,Carrefour Belgium - Corporate Village,Rue Neuve 123,1000,Bruxelles,+32 476 73 31 60,constance_havet@carrefour.com,Actif,no-message,C,42,3,759.24,63.27,2025-10-21,2026-02-11,106,11/02/2026 (106j),2026-02-11,last_so,2026-03-25,64
5899,Affilié 040290 - AD Andenne,Affilié 040290 - AD Andenne,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Avenue Roi Albert 135A,5300,Andenne,+32 85 41 19 81,proxystema@gmail.com,Actif,no-message,C,42,2,552.12,46.01,2026-01-07,2026-02-13,104,13/02/2026 (104j),2026-02-13,last_so,2026-03-27,62
3226,SRL Waldix - Delhaize Wavre,SRL Waldix - Delhaize Wavre,,SRL Waldix - Delhaize Wavre,Chaussée de Louvain 126,1300,Wavre,+32 477 91 45 25,info@beldix.be,Actif,no-message,B,28,10,3484.5,290.38,2025-06-18,2026-02-24,93,24/02/2026 (93j),2026-03-02,picking,2026-03-30,59
114763,Lillodis SRL - Proxy Delhaize Lillois,Lillodis SRL - Proxy Delhaize Lillois,,Lillodis SRL - Proxy Delhaize Lillois,Grand’Route 350,1428,Lillois,+32 2 384 48 83,proxylillois@gmail.com,Actif,no-message,C,42,4,712.8,59.4,2025-11-06,2026-02-19,98,19/02/2026 (98j),2026-02-19,last_so,2026-04-02,56
5729,Affilié 044010 - Delhaize DEBROUX,Affilié 044010 - Delhaize DEBROUX,Delhaize Le Lion S.A,Delhaize Le Lion S.A,"Avenue Hermann Debroux, 26",,Auderghem,026 72 87 25,Naberkan@delhaize.be,Actif,no-message,B,28,4,1527.77,127.31,2025-06-25,2026-03-06,83,06/03/2026 (83j),2026-03-06,last_so,2026-04-03,55
