pid,store_name,display_name,parent_name,billing_partner,street,zip,city,phone,email,statut,sale_warn,tier,cycle_days,so_count_12m,total_untaxed_12m,avg_mois,first_so_date,last_so_date,last_so_days_ago,last_so_label,last_visit,last_visit_source,next_visit,retard_j,controle_stock,methode_reassort,regle_magasin
8779,Affilié 044780 - Proxy Delhaize Le Beau Rivage,Affilié 044780 - Proxy Delhaize Le Beau Rivage,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Quai de Meuse 1/1,5500,Dinant,+32 82 22 37 62,xavier-despeghel@hotmail.com,Actif,no-message,C,30,3,807.74,67.31,2025-10-16,2026-02-17,160,17/02/2026 (160j),2026-02-17,last_so,2026-03-19,130,,,passage tous les 30j min — pas de passage avant 30j (Nicolas 24/06/2026)
3226,SRL Waldix - Delhaize Wavre,SRL Waldix - Delhaize Wavre,,SRL Waldix - Delhaize Wavre,Chaussée de Louvain 126,1300,Wavre,+32 477 91 45 25,info@beldix.be,Actif,no-message,B,28,7,2401.29,200.11,2025-08-18,2026-02-24,153,24/02/2026 (153j),2026-03-02,picking,2026-03-30,119,,,
5916,Affilié 044470 - AD Jambes (Materne),Affilié 044470 - AD Jambes (Materne),Delhaize Le Lion S.A,Delhaize Le Lion S.A,Avenue Jean Materne 109,,Jambes,081 30 16 88,,Actif,no-message,C,42,2,699.38,58.28,2026-01-16,2026-03-02,147,02/03/2026 (147j),2026-03-02,last_so,2026-04-13,105,,,
113675,Carrefour market LONTZEN,Carrefour market LONTZEN,Carrefour Belgium,Carrefour market LONTZEN,"Rue Mitoyenne B, 910",4710,Lontzen,+32 87 67 42 27,carrefour.lontzen@gmail.com,Actif,no-message,B,28,4,1847.48,153.96,2025-10-14,2026-04-10,108,10/04/2026 (108j),2026-04-10,last_so,2026-05-08,80,,,
3120,Mardis - Carrefour Market Marche,Mardis - Carrefour Market Marche,,Mardis - Carrefour Market Marche,Avenue du Monument 1,6900,Marche-en-Famenne,084 31 30 76,carrefour.market.marche@gmail.com,Actif,no-message,C,42,2,711.89,59.32,2025-10-17,2026-04-01,117,01/04/2026 (117j),2026-04-01,last_so,2026-05-13,75,,,
2958,Floridis SA- Intermarché Floriffoux,Floridis SA- Intermarché Floriffoux,,Floridis SA- Intermarché Floriffoux,Rue Emerée 4,5150,Floriffoux,081 44 05 39,PDV09900@mousquetaires.com,Actif,no-message,B,28,7,3011.48,250.96,2025-09-02,2026-04-20,98,20/04/2026 (98j),2026-04-20,last_so,2026-05-18,70,,,
7760,Hyper Carrefour Fleron - 5400102606202,Hyper Carrefour Fleron - 5400102606202,Carrefour Belgium,Hyper Carrefour Fleron - 5400102606202,Rue de la Clef 30,4620,Fleron,+32 4 355 86 11,sebastien_mancuso_1@carrefour.com,Actif,no-message,C,30,1,720.46,60.04,2026-04-22,2026-04-22,96,22/04/2026 (96j),2026-04-27,picking,2026-05-27,61,,,passage tous les 30j min — pas de passage avant 30j (Nicolas 24/06/2026)
59514,Affilié 049480 - Delhaize Welkenraedt,Affilié 049480 - Delhaize Welkenraedt,Delhaize Le Lion S.A,Affilié 049480 - Delhaize Welkenraedt,"Rue Gérard Delvoye, 3 A",4840,Welkenraedt,+32 87 88 04 29,magasin@adwelkenraedt.be,Actif,no-message,B,28,9,2583.57,215.3,2025-09-08,2026-05-21,67,21/05/2026 (67j),2026-05-21,last_so,2026-06-18,39,,,
113217,Affilié 045190 - Proxy Delhaize Maransart,Affilié 045190 - Proxy Delhaize Maransart,Delhaize Le Lion S.A,Affilié 045190 - Proxy Delhaize Maransart,"Route de l'Etat, 217",1380,Lasne,+32 2 633 13 25,Christelle.proxylasne@gmail.com,Actif,no-message,B,28,7,2719.1,226.59,2025-10-03,2026-05-22,66,22/05/2026 (66j),2026-05-22,last_so,2026-06-19,38,,,
59558,Rosy Dis sprl - Carrefour Market La Chasse,Rosy Dis sprl - Carrefour Market La Chasse,,Rosy Dis sprl - Carrefour Market La Chasse,"Rue des champs, 39",1040,Bruxelles,+32 2 647 44 73,carrefourmarketlachasse@gmail.com,Actif,no-message,B,28,3,1386.72,115.56,2025-09-10,2026-05-22,66,22/05/2026 (66j),2026-05-22,last_so,2026-06-19,38,,,
