pid,magasin,zip,city,street,phone,mobile,email,contact_name,contact_function,contact_phone,contact_email,dist_km,dist_src,n_refs,so_count_12m,revenue_12m,avg_mois,last_order,days_since,median_interval,target_interval,cadence_src,next_call,overdue_days,urgency,last_refus,last_nrp,impl_date,suivi_impl,reason,top_products,notes
113974,Carrefour Market Eupen Herbesthalerstrasse,4700,Eupen,Rue de Herbesthal 203,+32 87 21 30 30,,info@hypermarketeupen.be,,,+32 87 21 30 30,info@hypermarketeupen.be,62,zip,19,2,756,63,2025-10-20,301,0,28,demarrage (1 cmd),2025-11-17,273,10.75,,,,,eloigne,[EM0072] SRP Kraft Horeca (x16); [I0279] Le panier de grand maman (20 infusettes) (x6); [I0832] La Nana de Wépion (20 infusettes) (x6); [I0301] Tisane tropicale (20 infusettes) (x6); [I0880] Blue Earl Grey BIO (20 infusettes) (x6); [I0878] Guarana Boost (20 infusettes) (x6); [I0735] Pêche de vigne - BIO (20 infusettes) (x6); [I0751] I love you (20 infusettes) (x6),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Market Eupen Herbesthalerstrasse Contact merchandiser: Sarah
8339,Carrefour Market Braine-l'Alleud,1420,Braine-l'alleud,Pl. du Môle 25,,,,,,,,81,zip,7,1,370,31,2025-11-06,284,,28,demarrage (1 cmd),2025-12-04,256,10.14,,,,,petit assortiment + eloigne,[V0711] Offrande des Rois Mages (100 g vrac) (x10); [V0732] Gourmandise de Noël (100 g vrac) (x10); [V0803] Le thé de la Mère Noël (100 g vrac) (x10); [V0891] Trésor des lutins (100 g vrac) (x10); [I0735] Pêche de vigne - BIO (20 infusettes) (x8); [I0880] Blue Earl Grey BIO (20 infusettes) (x4); [I0751] I love you (20 infusettes) (x2),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Market Braine-l'Alleud 2 visites sans commande j'ai augmenté le délais de visite à 56 jours
120762,Spirec SRL - Carrefour Express CHIREC,1160,Auderghem,"Boulevard du Triomphe, 201",+32 2 280 40 49,,express.chirec@gmail.com,Gaspard Daxhelet,,+32 470 30 45 45,express.chirec@gmail.com,87,zip,7,1,354,29,2026-02-05,193,,28,demarrage (1 cmd),2026-03-05,165,6.89,,,,,petit assortiment + eloigne,[I0631] Le thé des amoureux (20 infusettes) (x8); [I0880] Blue Earl Grey BIO (20 infusettes) (x8); [I0751] I love you (20 infusettes) (x8); [I0735] Pêche de vigne - BIO (20 infusettes) (x8); [I0279] Le panier de grand maman (20 infusettes) (x8); [V0832] La Nana de Wépion (100 g vrac) (x8); [EM0072] SRP Kraft Horeca (x6),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Express CHIREC Contact merchandiser: Gaspard Daxhelet --- [APPEL ONLY — NE PAS VISITER — décision Nicolas 2026-05-20] --- Magasin trop petit pour justifier visite merchandiser Gilles. Réassort à organiser par APPEL TÉLÉPHONIQUE périodique dep
120986,Carrefour express Petits Champs,1410,Waterloo,"CHAUSSEE DE BRUXELLES, 6",+32 2 354 35 22,,cvg0973@hotmail.com,,,+32 2 354 35 22,cvg0973@hotmail.com,81,zip,4,1,243,20,2026-02-11,187,,28,demarrage (1 cmd),2026-03-11,159,6.68,,,,,petit assortiment + eloigne,[I0631] Le thé des amoureux (20 infusettes) (x8); [I0279] Le panier de grand maman (20 infusettes) (x8); [I0735] Pêche de vigne - BIO (20 infusettes) (x8); [I0880] Blue Earl Grey BIO (20 infusettes) (x8),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour express Petits champs Contact merchandiser: Mr Serge Voir pour le suivi merchandiser car que 4 référence en magasin
5899,Affilié 040290 - AD Andenne,5300,Andenne,Avenue Roi Albert 135A,+32 85 41 19 81,,proxystema@gmail.com,,,+32 85 41 19 81,proxystema@gmail.com,30,zip,8,2,552,46,2026-02-13,185,37,28,historique resserre,2026-03-13,157,6.61,,,,,petit assortiment,[I0832] La Nana de Wépion (20 infusettes) (x14); [I0735] Pêche de vigne - BIO (20 infusettes) (x12); [I0723] Namasté BIO (20 infusettes) (x11); [I0279] Le panier de grand maman (20 infusettes) (x11); [I0628] Oasis du désert - BIO (20 infusettes) (x10); [I0631] Le thé des amoureux (20 infusettes) (x10); [I0600] La lampe merveilleuse (20 infusettes) (x6); [I0635] Silhouette (20 infusettes) (x2),
113997,"Carrefour Belgium - Corporate Village, Carrefour Market City 2",1000,Bruxelles,Rue Neuve 123,+32 2 226 66 11,,constance_havet@carrefour.com,,,+32 2 226 66 11,constance_havet@carrefour.com,94,zip,14,3,759,63,2026-02-11,187,56.5,35,historique resserre,2026-03-18,152,5.34,,,,,eloigne,[V0628] Oasis du désert - BIO (100 g vrac) (x12); [V0751] I love you (80 g vrac) (x12); [V0832] La Nana de Wépion (100 g vrac) (x12); [V0631] Le thé des amoureux (80 g vrac) (x9); [V0626] Sencha - BIO (100 g vrac) (x8); [V0600] La lampe merveilleuse (100 g vrac) (x8); [V0878] Guarana Boost (100 g vrac) (x8); [V0279] Le panier de grand maman (80 g vrac) (x8),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Market City 2 Contact merchandiser: Mme Havet ou Laurent Schayes demander Mme Havet ou Laurent Schayes - Pas de visite le vendredi - se présenter de 6h à 12h30
3191,Proxy Delhaize Bosvoorde - SPRL BROOMCORNER,1170,Watermael-Boitsfort,Chaussée de la Hulpe 255,02 672 33 99,0472 50 05 21,Youbech.mesli@gmail.com,Monsieur Sam,,0486 45 07 56,Youbech.mesli@gmail.com,87,zip,16,3,934,78,2026-05-12,97,45.0,34,historique resserre,2026-06-15,63,2.85,,2026-08-10,,,eloigne,[I0279] Le panier de grand maman (20 infusettes) (x14); [I0832] La Nana de Wépion (20 infusettes) (x13); [I0735] Pêche de vigne - BIO (20 infusettes) (x12); [I0723] Namasté BIO (20 infusettes) (x11); [I0631] Le thé des amoureux (20 infusettes) (x10); [I0121] Lady Dodo (20 infusettes) (x10); [I0880] Blue Earl Grey BIO (20 infusettes) (x9); [GI0832] La Nana de Wépion glacée (x8),"[APPEL 2026-07-03 NRP] (Vanessa télévente) --- Remarques merchandiser (import Sheet) --- 📍 Proxy Delhaize Bosvoorde - / Watermael bois fort Ok suivi Merchandiser une fois par mois. Demander Youssef, Mélissa ou Saïd [APPEL 2026-06-25 NRP] injoignable [APPEL 2026-07-14 NRP] (injoignable - note Vanessa"
2963,GENADIS - Intermarché Genappe,1470,Genappe,Rue Louis Lalieux 22,067 78 02 50,,pdv09846@mousquetaires.com,,,067 78 02 50,pdv09846@mousquetaires.com,70,zip,16,3,1002,84,2026-03-25,145,81.5,35,historique resserre,2026-07-22,26,1.74,2026-06-17,2026-08-12,,,eloigne,[I0205] Etoiles filantes (20 infusettes) (x17); [I0735] Pêche de vigne - BIO (20 infusettes) (x17); [I0600] La lampe merveilleuse (20 infusettes) (x13); [I0751] I love you (20 infusettes) (x12); [I0626] Sencha - BIO (20 infusettes) (x10); [I0631] Le thé des amoureux (20 infusettes) (x9); [I0279] Le panier de grand maman (20 infusettes) (x9); [I0878] Guarana Boost (20 infusettes) (x8),[APPEL 2026-06-17 REFUS] [APPEL 2026-08-05 NRP] (rappeler vendredi - note Vanessa) [APPEL 2026-08-12 NRP] (RAPPELER VENDREDI MATIN - note Vanessa)
6598,Carrefour Market Boondael - 5400102101172,1050,Ixelles,Chaussée de Boondael 444,+32 2 627 05 11,,NICOLAS_DEHON@CARREFOUR.COM,,,+32 2 627 05 11,NICOLAS_DEHON@CARREFOUR.COM,91,zip,18,3,1692,141,2026-06-18,60,47.0,35,historique resserre,2026-07-23,25,1.71,,2026-08-12,,,eloigne,[I0600] La lampe merveilleuse (20 infusettes) (x18); [V0895] Matcha japonais (x18); [I0121] Lady Dodo (20 infusettes) (x12); [I0205] Etoiles filantes (20 infusettes) (x12); [I0279] Le panier de grand maman (20 infusettes) (x12); [I0868] Citron meringué (20 infusettes) (x12); [I0628] Oasis du désert - BIO (20 infusettes) (x12); [I0631] Le thé des amoureux (20 infusettes) (x12),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Market Boondael Contact merchandiser: Nicolas Dehon Demande des flyers des mise en avant pour développer les ventes. Voir mail du 07/03/2026 [APPEL 2026-08-12 NRP] (RAPPELER DANS 15 MIN - note Vanessa)
123345,BLONFOOD SA - Intermarché Liège Blonden,4000,Liège,Avenue Blonden 26,+32 4 229 34 98,,PDV09874@MOUSQUETAIRES.COM,,,+32 4 229 34 98,PDV09874@MOUSQUETAIRES.COM,43,zip,7,1,442,37,2026-04-30,109,,28,demarrage (1 cmd),2026-07-23,25,1.89,2026-06-25,2026-08-14,,,petit assortiment,[V0914] Infusion du Printemps 2026 (x10); [GI0820] Marrakech Sunset - BIO glacé (x10); [GI0832] La Nana de Wépion glacée (x10); [GI0735] Pêche de Vigne - BIO glacée (x10); [GI0634] Gourmandise glacée (x10); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x10); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x10),[APPEL 2026-06-15 NRP] (display pas encore installe - impl Gilles 18/06) [APPEL 2026-06-25 REFUS] [APPEL 2026-08-06 NRP] [APPEL 2026-08-14 NRP]
