pid,magasin,zip,city,street,phone,mobile,email,contact_name,contact_function,contact_phone,contact_email,dist_km,dist_src,n_refs,so_count_12m,revenue_12m,avg_mois,last_order,days_since,median_interval,target_interval,cadence_src,next_call,overdue_days,urgency,last_refus,last_nrp,impl_date,suivi_impl,reason,priorite,top_products,notes
123144,Affilié 040490 - Delhaize Ath,7800,Ath,Rue de l'Abbaye 6,+32 68 84 24 01,+32 477 85 67 07,lorickvanassche@outlook.com,,,+32 68 84 24 01,lorickvanassche@outlook.com,116,zip,10,4,2356,196,2026-09-04,20,42,32,historique resserre,2026-10-06,-12,0.62,,,,,bascule televente (decision Nicolas),bon client jamais visite depuis le 02/07 — ne pas louper,[GI0820] Marrakech Sunset - BIO glacé (x70); [GI0832] La Nana de Wépion glacée (x64); [GI0916] Vergers d’Été: saveurs: Pomme - Poire (x60); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x60); [GI0735] Pêche de Vigne - BIO glacée (x52); [GI0634] Gourmandise glacée (x48); [V0919-HIST] Halloween 2026 - 100g (x12); [V0914] Infusion du Printemps 2026 (x12),Client GMS 20/04/2026 [TERRAIN 2026-07-02 (Nicolas)] Contrôle marchandise: oui — Stock: non — Appareil: non
113974,Carrefour Market Eupen Herbesthalerstrasse,4700,Eupen,Rue de Herbesthal 203,+32 87 21 30 30,,info@hypermarketeupen.be,,,+32 87 21 30 30,info@hypermarketeupen.be,62,zip,19,2,756,63,2025-10-20,339,0,28,demarrage (1 cmd),2025-11-17,311,12.11,,,,,eloigne,,[EM0072] SRP Kraft Horeca (x16); [I0279] Le panier de grand maman (20 infusettes) (x6); [I0832] La Nana de Wépion (20 infusettes) (x6); [I0301] Tisane tropicale (20 infusettes) (x6); [I0880] Blue Earl Grey BIO (20 infusettes) (x6); [I0878] Guarana Boost (20 infusettes) (x6); [I0735] Pêche de vigne - BIO (20 infusettes) (x6); [I0751] I love you (20 infusettes) (x6),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Market Eupen Herbesthalerstrasse Contact merchandiser: Sarah
8339,Carrefour Market Braine-l'Alleud,1420,Braine-l'alleud,Pl. du Môle 25,,,,,,,,81,zip,7,1,370,31,2025-11-06,322,,28,demarrage (1 cmd),2025-12-04,294,11.5,,,,,petit assortiment + eloigne,,[V0711] Récolte enchantée (100 g vrac) (x10); [V0732] Gourmandise de Noël (100 g vrac) (x10); [V0803] Le thé de la Mère Noël (100 g vrac) (x10); [V0891] Trésor des lutins (100 g vrac) (x10); [I0735] Pêche de vigne - BIO (20 infusettes) (x8); [I0880] Blue Earl Grey BIO (20 infusettes) (x4); [I0751] I love you (20 infusettes) (x2),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Market Braine-l'Alleud 2 visites sans commande j'ai augmenté le délais de visite à 56 jours
120762,Spirec SRL - Carrefour Express CHIREC,1160,Auderghem,"Boulevard du Triomphe, 201",+32 2 280 40 49,,express.chirec@gmail.com,Gaspard Daxhelet,,+32 470 30 45 45,express.chirec@gmail.com,87,zip,7,1,354,29,2026-02-05,231,,28,demarrage (1 cmd),2026-03-05,203,8.25,,,,,petit assortiment + eloigne,,[I0631] Le thé des amoureux (20 infusettes) (x8); [I0880] Blue Earl Grey BIO (20 infusettes) (x8); [I0751] I love you (20 infusettes) (x8); [I0735] Pêche de vigne - BIO (20 infusettes) (x8); [I0279] Le panier de grand maman (20 infusettes) (x8); [V0832] La Nana de Wépion (100 g vrac) (x8); [EM0072] SRP Kraft Horeca (x6),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Express CHIREC Contact merchandiser: Gaspard Daxhelet --- [APPEL ONLY — NE PAS VISITER — décision Nicolas 2026-05-20] --- Magasin trop petit pour justifier visite merchandiser Gilles. Réassort à organiser par APPEL TÉLÉPHONIQUE périodique dep
120986,Carrefour express Petits Champs,1410,Waterloo,"CHAUSSEE DE BRUXELLES, 6",+32 2 354 35 22,,cvg0973@hotmail.com,,,+32 2 354 35 22,cvg0973@hotmail.com,81,zip,4,1,243,20,2026-02-11,225,,28,demarrage (1 cmd),2026-03-11,197,8.04,,,,,petit assortiment + eloigne,,[I0631] Le thé des amoureux (20 infusettes) (x8); [I0279] Le panier de grand maman (20 infusettes) (x8); [I0735] Pêche de vigne - BIO (20 infusettes) (x8); [I0880] Blue Earl Grey BIO (20 infusettes) (x8),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour express Petits champs Contact merchandiser: Mr Serge Voir pour le suivi merchandiser car que 4 référence en magasin
5899,Affilié 040290 - AD Andenne,5300,Andenne,Avenue Roi Albert 135A,+32 85 41 19 81,,proxystema@gmail.com,,,+32 85 41 19 81,proxystema@gmail.com,30,zip,8,2,552,46,2026-02-13,223,37,28,historique resserre,2026-03-13,195,7.96,,,,,petit assortiment,,[I0832] La Nana de Wépion (20 infusettes) (x14); [I0735] Pêche de vigne - BIO (20 infusettes) (x12); [I0723] Namasté BIO (20 infusettes) (x11); [I0279] Le panier de grand maman (20 infusettes) (x11); [I0628] Oasis du désert - BIO (20 infusettes) (x10); [I0631] Le thé des amoureux (20 infusettes) (x10); [I0600] La lampe merveilleuse (20 infusettes) (x6); [I0635] Silhouette (20 infusettes) (x2),
113997,"Carrefour Belgium - Corporate Village, Carrefour Market City 2",1000,Bruxelles,Rue Neuve 123,+32 2 226 66 11,,constance_havet@carrefour.com,,,+32 2 226 66 11,constance_havet@carrefour.com,94,zip,14,3,759,63,2026-02-11,225,56.5,35,historique resserre,2026-03-18,190,6.43,,,,,eloigne,,[V0628] Oasis du désert - BIO (100 g vrac) (x12); [V0751] I love you (80 g vrac) (x12); [V0832] La Nana de Wépion (100 g vrac) (x12); [V0631] Le thé des amoureux (80 g vrac) (x9); [V0626] Sencha - BIO (100 g vrac) (x8); [V0600] La lampe merveilleuse (100 g vrac) (x8); [V0878] Guarana Boost (100 g vrac) (x8); [V0279] Le panier de grand maman (80 g vrac) (x8),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Market City 2 Contact merchandiser: Mme Havet ou Laurent Schayes demander Mme Havet ou Laurent Schayes - Pas de visite le vendredi - se présenter de 6h à 12h30
3181,Pharmacie Haulot-Bauche SRL - Mickaël Tilman,5330,Assesse,Chaussée de Marche 30/A,+32 83 65 70 65,,mt@tilman.be,,,+32 83 65 70 65,mt@tilman.be,27,zip,24,2,649,54,2026-02-19,217,98,35,historique resserre,2026-03-26,182,6.2,,,,,bascule televente (decision Nicolas),,[I0279] Le panier de grand maman (20 infusettes) (x8); [I0841] Lacquemant liégeois (20 infusettes) (x6); [I0728] Jardin gourmand (20 infusettes) (x5); [I0842] Plaisir chocolaté (20 infusettes) (x4); [I0635] Silhouette (20 infusettes) (x4); [V0638] Sérénité - BIO (100 g vrac) (x4); [I0631] Le thé des amoureux (20 infusettes) (x4); [I0778] Spéculoos & Cie (20 infusettes) (x4),"[VISITE 2026-09-03 Gilles] passage OK, pas de réassort [REFUS REASSORT 2026-09-03] La responsable ne veut pas de réassort : rotation très faible. Doypacks changés dans la mesure du stock camionnette. À arbitrer : cadence à allonger ou passage en suivi téléphonique."
3191,Proxy Delhaize Bosvoorde - SPRL BROOMCORNER,1170,Watermael-Boitsfort,Chaussée de la Hulpe 255,02 672 33 99,0472 50 05 21,Youbech.mesli@gmail.com,Monsieur Sam,,0486 45 07 56,Youbech.mesli@gmail.com,87,zip,16,3,934,78,2026-05-12,135,45.0,34,historique resserre,2026-06-15,101,3.97,,2026-08-17,,,eloigne,,[I0279] Le panier de grand maman (20 infusettes) (x14); [I0832] La Nana de Wépion (20 infusettes) (x13); [I0735] Pêche de vigne - BIO (20 infusettes) (x12); [I0723] Namasté BIO (20 infusettes) (x11); [I0631] Le thé des amoureux (20 infusettes) (x10); [I0121] Lady Dodo (20 infusettes) (x10); [I0880] Blue Earl Grey BIO (20 infusettes) (x9); [GI0832] La Nana de Wépion glacée (x8),"[APPEL 2026-07-03 NRP] (Vanessa télévente) --- Remarques merchandiser (import Sheet) --- 📍 Proxy Delhaize Bosvoorde - / Watermael bois fort Ok suivi Merchandiser une fois par mois. Demander Youssef, Mélissa ou Saïd [APPEL 2026-06-25 NRP] injoignable [APPEL 2026-07-14 NRP] (injoignable - note Vanessa"
59558,Rosy Dis sprl - Carrefour Market La Chasse,1040,Bruxelles,"Rue des champs, 39",+32 2 647 44 73,,carrefourmarketlachasse@gmail.com,Christopher,Responsable magasin,+32 499 05 37 61,carrefourmarketlachasse@gmail.com,90,zip,18,2,715,60,2026-05-22,125,190,35,historique resserre,2026-06-26,90,3.57,,,,,eloigne,,[V0732] Gourmandise de Noël (100 g vrac) (x10); [I0751] I love you (20 infusettes) (x8); [GI0820] Marrakech Sunset - BIO glacé (x8); [GI0735] Pêche de Vigne - BIO glacée (x8); [GI0832] La Nana de Wépion glacée (x8); [GI0912] Passion Exotique - Infusion de fruits : Mangue - Passion (x8); [V0711] Récolte enchantée (100 g vrac) (x8); [V0803] Le thé de la Mère Noël (100 g vrac) (x8),--- Remarques merchandiser (import Sheet) --- 📍 Carrefour Market La Chasse Contact merchandiser: Christopher / Xavier [VISITE 2026-08-10 — sans réassort] Carrefour Market La Chasse — pas besoin de remplir (Gilles) (source Slack #merchandiser)
